id,fam,date,who,status,early,target,pop,n,pos,features,kind,auc,note,source
A025,F3,2026-09-10,Claude (sesión principal),CLAUDE,E_H5,T_STABLE,all_dyads (13 INVALID=0),45,20,S,LOOCV,0.752,,"~/Downloads/sodcl-pro-review/claude_artifacts/scratch_scripts_claude/check1.py, check2.py"
A026,F3,2026-09-10,Claude (sesión principal),CLAUDE,E_H5,T_STABLE,all_dyads (13 INVALID=0),45,20,G+S,LOOCV,0.818,,"~/Downloads/sodcl-pro-review/claude_artifacts/scratch_scripts_claude/check1.py, check2.py"
A027,F3,2026-09-10,Claude (sesión principal),CLAUDE,E_H5,T_STABLE,all_dyads (13 INVALID=0),45,20,H,LOOCV,0.772,,"~/Downloads/sodcl-pro-review/claude_artifacts/scratch_scripts_claude/check1.py, check2.py"
A028,F3,2026-09-10,Claude (sesión principal),CLAUDE,E_H5,T_STABLE,valid_only,32,20,S,LOOCV,0.8,,"~/Downloads/sodcl-pro-review/claude_artifacts/scratch_scripts_claude/check1.py, check2.py"
A029,F3,2026-09-10,Claude (sesión principal),CLAUDE,E_H5,T_STABLE,valid_only,32,20,G+S,LOOCV,0.787,,"~/Downloads/sodcl-pro-review/claude_artifacts/scratch_scripts_claude/check1.py, check2.py"
A030,F3,2026-09-10,Claude (sesión principal),CLAUDE,E_H5,T_STABLE,valid_only,32,20,H,LOOCV,0.771,,"~/Downloads/sodcl-pro-review/claude_artifacts/scratch_scripts_claude/check1.py, check2.py"
A031,F4,2026-09-10,Claude (sesión principal),CLAUDE,E_P≤20,T_CAT41,todas,45,15,G,LOOCV,0.853,,"~/Downloads/sodcl-pro-review/claude_artifacts/scratch_scripts_claude/check3.py, strict_external_contrast.csv"
A032,F4,2026-09-10,Claude (sesión principal),CLAUDE,E_P≤10,T_CAT41,todas,45,15,G,LOOCV,0.622,,"~/Downloads/sodcl-pro-review/claude_artifacts/scratch_scripts_claude/check3.py, strict_external_contrast.csv"
A033,F4,2026-09-10,Claude (sesión principal),CLAUDE,E_H5,T_CAT41,todas,45,15,G,LOOCV,0.836,,"~/Downloads/sodcl-pro-review/claude_artifacts/scratch_scripts_claude/check3.py, strict_external_contrast.csv"
A034,F4,2026-09-10,Claude (sesión principal),CLAUDE,E_P≤20,T_CAT41,todas,45,15,S,LOOCV,0.793,Métricas oficiales tempranas de humans_only_absent ≤20.,"~/Downloads/sodcl-pro-review/claude_artifacts/scratch_scripts_claude/check3.py, strict_external_contrast.csv"
A035,F4,2026-09-10,Claude (sesión principal),CLAUDE,E_P≤20,T_CAT41,todas,45,15,D,LOOCV,0.7,Métricas oficiales tempranas de humans_only_absent ≤20.,"~/Downloads/sodcl-pro-review/claude_artifacts/scratch_scripts_claude/check3.py, strict_external_contrast.csv"
A036,F4,2026-09-10,Claude (sesión principal),CLAUDE,E_P≤20,T_CAT41,todas,45,15,C,LOOCV,0.78,Métricas oficiales tempranas de humans_only_absent ≤20.,"~/Downloads/sodcl-pro-review/claude_artifacts/scratch_scripts_claude/check3.py, strict_external_contrast.csv"
A037,F4,2026-09-10,Claude (sesión principal),CLAUDE,E_P≤20,T_CAT41,todas,45,15,TRIO,LOOCV,0.784,Métricas oficiales tempranas de humans_only_absent ≤20.,"~/Downloads/sodcl-pro-review/claude_artifacts/scratch_scripts_claude/check3.py, strict_external_contrast.csv"
A038,F4,2026-09-10,Claude (sesión principal),CLAUDE,E_P≤20,T_CAT41,todas,45,15,COMB,LOOCV,0.88,Métricas oficiales tempranas de humans_only_absent ≤20.,"~/Downloads/sodcl-pro-review/claude_artifacts/scratch_scripts_claude/check3.py, strict_external_contrast.csv"
A039,F4,2026-09-10,Claude (sesión principal),CLAUDE,E_P≤20,T_CAT41,todas,45,15,G+S,LOOCV,0.871,Métricas oficiales tempranas de humans_only_absent ≤20.,"~/Downloads/sodcl-pro-review/claude_artifacts/scratch_scripts_claude/check3.py, strict_external_contrast.csv"
A040,F4,2026-09-10,Claude (sesión principal),CLAUDE,E_P≤20,T_CATFRAC,todas,45,13,G,LOOCV,0.853,,"~/Downloads/sodcl-pro-review/claude_artifacts/scratch_scripts_claude/check3.py, strict_external_contrast.csv"
A041,F4,2026-09-10,Claude (sesión principal),CLAUDE,E_P≤20,T_CATFRAC,todas,45,13,S,LOOCV,0.781,,"~/Downloads/sodcl-pro-review/claude_artifacts/scratch_scripts_claude/check3.py, strict_external_contrast.csv"
A042,F4,2026-09-10,Claude (sesión principal),CLAUDE,E_P≤20,T_CATFRAC,todas,45,13,TRIO,LOOCV,0.825,,"~/Downloads/sodcl-pro-review/claude_artifacts/scratch_scripts_claude/check3.py, strict_external_contrast.csv"
A043,F4,2026-09-10,Claude (sesión principal),CLAUDE,E_P≤20,T_CATFRAC,todas,45,13,COMB,LOOCV,0.899,,"~/Downloads/sodcl-pro-review/claude_artifacts/scratch_scripts_claude/check3.py, strict_external_contrast.csv"
A044,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=1),T_STABLE,all_dyads (13 INVALID=0),45,20,G,LOOCV,0.79,k=1; la k-ésima ronda llega a ≥30 en 0/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A045,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=1),T_STABLE,all_dyads (13 INVALID=0),45,20,G,sin modelo,0.82,k=1; la k-ésima ronda llega a ≥30 en 0/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A046,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=1),T_STABLE,valid_only,32,20,G,LOOCV,0.654,k=1; la k-ésima ronda llega a ≥30 en 0/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A047,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=1),T_STABLE,valid_only,32,20,G,sin modelo,0.742,k=1; la k-ésima ronda llega a ≥30 en 0/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A048,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=2),T_STABLE,all_dyads (13 INVALID=0),45,20,G,LOOCV,0.642,k=2; la k-ésima ronda llega a ≥30 en 0/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A049,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=2),T_STABLE,all_dyads (13 INVALID=0),45,20,G,sin modelo,0.698,k=2; la k-ésima ronda llega a ≥30 en 0/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A050,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=2),T_STABLE,valid_only,32,20,G,LOOCV,0.529,k=2; la k-ésima ronda llega a ≥30 en 0/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A051,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=2),T_STABLE,valid_only,32,20,G,sin modelo,0.654,k=2; la k-ésima ronda llega a ≥30 en 0/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A052,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=3),T_STABLE,all_dyads (13 INVALID=0),45,20,G,LOOCV,0.658,k=3; la k-ésima ronda llega a ≥30 en 1/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A053,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=3),T_STABLE,all_dyads (13 INVALID=0),45,20,G,sin modelo,0.71,k=3; la k-ésima ronda llega a ≥30 en 1/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A054,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=3),T_STABLE,valid_only,32,20,G,LOOCV,0.592,k=3; la k-ésima ronda llega a ≥30 en 1/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A055,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=3),T_STABLE,valid_only,32,20,G,sin modelo,0.675,k=3; la k-ésima ronda llega a ≥30 en 1/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A056,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=4),T_STABLE,all_dyads (13 INVALID=0),45,20,G,LOOCV,0.686,k=4; la k-ésima ronda llega a ≥30 en 6/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A057,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=4),T_STABLE,all_dyads (13 INVALID=0),45,20,G,sin modelo,0.736,k=4; la k-ésima ronda llega a ≥30 en 6/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A058,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=4),T_STABLE,valid_only,32,20,G,LOOCV,0.646,k=4; la k-ésima ronda llega a ≥30 en 6/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A059,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=4),T_STABLE,valid_only,32,20,G,sin modelo,0.713,k=4; la k-ésima ronda llega a ≥30 en 6/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A060,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=5),T_STABLE,all_dyads (13 INVALID=0),45,20,G,LOOCV,0.804,k=5; la k-ésima ronda llega a ≥30 en 15/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A061,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=5),T_STABLE,all_dyads (13 INVALID=0),45,20,G,sin modelo,0.834,k=5; la k-ésima ronda llega a ≥30 en 15/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A062,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=5),T_STABLE,valid_only,32,20,G,LOOCV,0.779,k=5; la k-ésima ronda llega a ≥30 en 15/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A063,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=5),T_STABLE,valid_only,32,20,G,sin modelo,0.825,k=5; la k-ésima ronda llega a ≥30 en 15/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A064,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=6),T_STABLE,all_dyads (13 INVALID=0),45,20,G,LOOCV,0.844,k=6; la k-ésima ronda llega a ≥30 en 18/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A065,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=6),T_STABLE,all_dyads (13 INVALID=0),45,20,G,sin modelo,0.862,k=6; la k-ésima ronda llega a ≥30 en 18/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A066,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=6),T_STABLE,valid_only,32,20,G,LOOCV,0.825,k=6; la k-ésima ronda llega a ≥30 en 18/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A067,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=6),T_STABLE,valid_only,32,20,G,sin modelo,0.858,k=6; la k-ésima ronda llega a ≥30 en 18/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A068,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=8),T_STABLE,all_dyads (13 INVALID=0),45,20,G,LOOCV,0.926,k=8; la k-ésima ronda llega a ≥30 en 28/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A069,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=8),T_STABLE,all_dyads (13 INVALID=0),45,20,G,sin modelo,0.936,k=8; la k-ésima ronda llega a ≥30 en 28/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A070,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=8),T_STABLE,valid_only,32,20,G,LOOCV,0.925,k=8; la k-ésima ronda llega a ≥30 en 28/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A071,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=8),T_STABLE,valid_only,32,20,G,sin modelo,0.937,k=8; la k-ésima ronda llega a ≥30 en 28/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A072,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=10),T_STABLE,all_dyads (13 INVALID=0),45,20,G,LOOCV,0.958,k=10; la k-ésima ronda llega a ≥30 en 37/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A073,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=10),T_STABLE,all_dyads (13 INVALID=0),45,20,G,sin modelo,0.974,k=10; la k-ésima ronda llega a ≥30 en 37/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A074,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=10),T_STABLE,valid_only,32,20,G,LOOCV,0.958,k=10; la k-ésima ronda llega a ≥30 en 37/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A075,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=10),T_STABLE,valid_only,32,20,G,sin modelo,0.979,k=10; la k-ésima ronda llega a ≥30 en 37/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A076,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=15),T_STABLE,all_dyads (13 INVALID=0),45,20,G,LOOCV,0.994,k=15; la k-ésima ronda llega a ≥30 en 45/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A077,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=15),T_STABLE,all_dyads (13 INVALID=0),45,20,G,sin modelo,0.994,k=15; la k-ésima ronda llega a ≥30 en 45/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A078,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=15),T_STABLE,valid_only,32,20,G,LOOCV,1.0,k=15; la k-ésima ronda llega a ≥30 en 45/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A079,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=15),T_STABLE,valid_only,32,20,G,sin modelo,1.0,k=15; la k-ésima ronda llega a ≥30 en 45/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A080,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=20),T_STABLE,all_dyads (13 INVALID=0),45,20,G,LOOCV,0.996,k=20; la k-ésima ronda llega a ≥30 en 45/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A081,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=20),T_STABLE,all_dyads (13 INVALID=0),45,20,G,sin modelo,0.996,k=20; la k-ésima ronda llega a ≥30 en 45/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A082,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=20),T_STABLE,valid_only,32,20,G,LOOCV,1.0,k=20; la k-ésima ronda llega a ≥30 en 45/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A083,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_Hk (k=20),T_STABLE,valid_only,32,20,G,sin modelo,1.0,k=20; la k-ésima ronda llega a ≥30 en 45/45 díadas.,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A084,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5-noov,T_STABLE,all_dyads sin solapadas,30,14,G,LOOCV,0.875,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A085,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5-noov,T_STABLE,all_dyads sin solapadas,30,14,G,sin modelo,0.906,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A086,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5-noov,T_STABLE,valid_only sin solapadas,21,14,G,LOOCV,0.867,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A087,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H5-noov,T_STABLE,valid_only sin solapadas,21,14,G,sin modelo,0.929,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A088,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H≤10,T_STABLE,all_dyads con rondas,37,,G,LOOCV,0.653,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A089,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H≤10,T_STABLE,all_dyads con rondas,37,,G,sin modelo,0.732,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A090,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H≤10,T_STABLE,valid_only con rondas,26,,G,LOOCV,0.497,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
A091,F5,2026-09-10,Subagente 'datos' del workflow de Claude,AGENT,E_H≤10,T_STABLE,valid_only con rondas,26,,G,sin modelo,0.667,,"~/Downloads/sodcl-pro-review/claude_artifacts/agent_outputs/datos/04_circularity.py, 05_sensitivity.py y sus *_out.txt"
